[2025-09-21 16:55:42.823] [INFO ] [T008] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1729.MP4
[2025-09-21 16:55:44.183] [INFO ] [T024] [FileSyncService] 释放FastCopy并发许可: C1725.MP4
[2025-09-21 16:55:44.183] [INFO ] [T024] [FileSyncService] 文件处理完成，清理锁: C1725.MP4
[2025-09-21 16:55:44.364] [INFO ] [T024] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1729.MP4
[2025-09-21 16:55:44.371] [INFO ] [T024] [FileSyncService] 文件已在处理队列中，跳过重复事件: 主机位
[2025-09-21 16:55:44.375] [INFO ] [T010] [FileSyncService] 检测到文件变化，等待写入完成: C1730.MP4
[2025-09-21 16:55:44.375] [INFO ] [T008] [FileSyncService] 检测到文件变化，等待写入完成: C1730.MP4
[2025-09-21 16:55:44.577] [INFO ] [T006] [FileSyncService] 文件写入已完成，准备同步: C1727.MP4
[2025-09-21 16:55:44.577] [INFO ] [T024] [FileSyncService] 文件写入已完成，准备同步: C1727.MP4
[2025-09-21 16:55:44.578] [INFO ] [T024] [FileSyncService] 获取FastCopy并发许可，开始复制: C1727.MP4
[2025-09-21 16:55:45.430] [INFO ] [T008] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1730.MP4
[2025-09-21 16:55:45.437] [INFO ] [T004] [FileSyncService] 文件已在处理队列中，跳过重复事件: 主机位
[2025-09-21 16:55:45.440] [INFO ] [T004] [FileSyncService] 检测到文件变化，等待写入完成: C1731.MP4
[2025-09-21 16:55:45.440] [INFO ] [T019] [FileSyncService] 检测到文件变化，等待写入完成: C1731.MP4
[2025-09-21 16:55:45.630] [INFO ] [T019] [FileSyncService] 释放FastCopy并发许可: C1726.MP4
[2025-09-21 16:55:45.630] [INFO ] [T021] [FileSyncService] 释放FastCopy并发许可: C1726.MP4
[2025-09-21 16:55:45.630] [INFO ] [T024] [FileSyncService] 获取FastCopy并发许可，开始复制: C1727.MP4
[2025-09-21 16:55:45.631] [INFO ] [T019] [FileSyncService] 文件处理完成，清理锁: C1726.MP4
[2025-09-21 16:55:46.193] [INFO ] [T008] [FileSyncService] 文件写入已完成，准备同步: C1728.MP4
[2025-09-21 16:55:46.194] [INFO ] [T008] [FileSyncService] 获取FastCopy并发许可，开始复制: C1728.MP4
[2025-09-21 16:55:46.589] [INFO ] [T024] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1731.MP4
[2025-09-21 16:55:46.596] [INFO ] [T004] [FileSyncService] 文件已在处理队列中，跳过重复事件: 主机位
[2025-09-21 16:55:46.599] [INFO ] [T021] [FileSyncService] 检测到文件变化，等待写入完成: C1732.MP4
[2025-09-21 16:55:46.599] [INFO ] [T020] [FileSyncService] 检测到文件变化，等待写入完成: C1732.MP4
[2025-09-21 16:55:47.392] [INFO ] [T004] [FileSyncService] 释放FastCopy并发许可: C1727.MP4
[2025-09-21 16:55:47.393] [INFO ] [T004] [FileSyncService] 文件处理完成，清理锁: C1727.MP4
[2025-09-21 16:55:47.922] [INFO ] [T021] [FileSyncService] 文件写入已完成，准备同步: C1729.MP4
[2025-09-21 16:55:47.922] [INFO ] [T021] [FileSyncService] 获取FastCopy并发许可，开始复制: C1729.MP4
[2025-09-21 16:55:48.000] [INFO ] [T021] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1732.MP4
[2025-09-21 16:55:48.006] [INFO ] [T020] [FileSyncService] 文件已在处理队列中，跳过重复事件: 主机位
[2025-09-21 16:55:48.009] [INFO ] [T020] [FileSyncService] 检测到文件变化，等待写入完成: C1733.MP4
[2025-09-21 16:55:48.009] [INFO ] [T004] [FileSyncService] 检测到文件变化，等待写入完成: C1733.MP4
[2025-09-21 16:55:48.446] [INFO ] [T021] [FileSyncService] 释放FastCopy并发许可: C1727.MP4
